 ;13;3;Ambilobe;Antanamariazy;Place du marché;;;4*3;6;5;8;RNA 001;23;TELMA;;1
 ;13;3;Antsiranana;Arasara ;Enceinte Aéroport;;;12*3;6;5;8;RNA 002;25;TELMA;;1
 ;13;3;Antsiranana;Tanambao;Parcage Namakia;;;6*3;6;5;8;RNA 003;60;TELMA;;1
 ;14;4;Ambalavao;Ambalavao;Sahamasy, au rond point sur l'axe RN7;21.4942;46.5627;6*3;6;5;9;TELMA 001;52;TELMA;;1
 ;19;3;Antalaha;Antalaha;Centre Ville Façade marché couvert;14.54475;50.163598;12*3;6;5;8;RNA 004;24;TELMA;;1
 ;11;5;Ambondromamy;Ambondromamy;Croisement vers Diégo;;;4*3;6;5;9;TELMA 002;23;TELMA;;1
 ;13;3;Antsiranana;Tanambao IV;Stade municipal;;;6*3;6;5;8;RNA 005;6;TELMA;;1
 ;13;3;Ambanja;Ambanja;Antanambao avant pont Ambanja;13.402934;48.270635;8*3;6;5;3;1B8AMBJ;24;TELMA;;1
 ;20;5;Analalava;Analalava;Devant mairie;13.413022;48.270732;6*3;1;5;3;1B6ANLLV;6;TELMA;;1
 ;1;6;Ambatondrazaka;Ambatondrazaka; Vodiala,Croisement Amparafaravola Rn44 vers Andilanatoby;;;6*3;6;5;5;509;6;TELMA;;1
 ;19;3;Antalaha;Antalaha;sur la route de l'aéroport-visible vers ville;14.55191;50.17888;8*3;6;5;3;1B8ATL;25;TELMA;;1
 ;1;6;Ambatondrazaka;Ambatondrazaka;Sortie Hopital vis Ambatondrazaka Tananarive, Près CISCO;;;4*3;6;5;5;371;46;TELMA;;1
 ;21;2;Antsirabe;Manodidina Gare;Devant Hotel de Thermes (Jardin Karmali);19.52315;47.21.68;4*3;6;5;9;TELMA 003;25;TELMA;;1
 ;21;2;Antsirabe;Serure;Croisement vers Ambositra;19.555304;47.24396;4*3;6;5;9;TELMA 004;49;TELMA;;1
 ;1;6;Andasibe;Andasibe;Face Temple FJKM;;;4*3;6;5;5;366;6;TELMA;;1
 ;9;6;Anivorano;Anivorano;Devant Bazar 4 chemins;;;4*3;6;5;5;367;6;TELMA;;1
 ;9;6;Antsampanana;Antsampanana;Croisement vers Vatomandry;;;6*3;6;5;5;E18;23;TELMA;;1
 ;16;1;Arivonimamo;Arivonimamo;Entrée de la ville, face vers centre ville;;;6*3;6;5;5;377;6;TELMA;;1
 ;9;6;Brickaville;Brickaville;Devant station Galana;;;6*3;6;5;5;75;6;TELMA;;1
 ;13;3;Antsiranana;Arasara ;Entrée de la ville venant d'Arrachard;21.14542;48.205164;4*3;6;5;3;15;52;TELMA;;1
 ;13;3;Antsiranana;Place Joffre;Route vers le port;;;6*3;1;5;3;1B6D;24;TELMA;;1
 ;14;4;Fianarantsoa;Ambatomena;En face STAR;21.2659;47.0510;4*3;6;5;9;TELMA 005;25;TELMA;;1
 ;14;4;Fianarantsoa;Ambalakisoa;Entrée de la ville en face Hotel Sofia;21.2626;47.0553;4*3;6;5;9;TELMA 006;52;TELMA;;1
 ;14;4;Fianarantsoa;;En face Hotel La Ruche d'Or sur la RN7;21.2538;47.0744;6*3;6;5;9;MDFI001;24;TELMA;;1
 ;15;4;Ihosy;Ihosy;Fanjakamandroso devant jardin public;22.2408;46.0736;6*3;6;5;9;TELMA 007;6;TELMA;;1
 ;15;4;Ihosy;Ihosy;Tsararivotra - Entrée de la ville à 200m du shop;22.2408;46.0749;4*3;6;5;9;TELMA 008;23;TELMA;;1
 ;15;4;Ilakaka;Ilakaka;En face BNI;23.213344;43.41952;6*3;6;5;9;TELMA 009;24;TELMA;;1
 ;10;5;Maevatanana;Maevatanana;Entrée ville avant station TOTAL;46.314513;15.72026;4*3;6;5;9;TELMA 010;6;TELMA;;1
 ;4;6;Fénérive Est;Fénérive Est;Gare Routière;;;6*3;6;5;5;369;6;TELMA;;1
 ;11;5;Mahajanga;Marolaka; Bazar Marolaka;46.310385;15.72410;6*3;6;5;9;TELMA 011;25;TELMA;;1
 ;6;7;Fort dauphin;Fort dauphin;Enceinte aéroport;-25.036270;46.954419;12*3;6;5;5;170;25;TELMA;;1
 ;6;7;Fort Dauphin;Fort Dauphin;Amboanato, en face pharmacie KALETA;-25.028235;46.981743;4*3;6;5;5;155;47;TELMA;;1
 ;6;7;Fort dauphin;Fort dauphin;Sortie ville vis Fort dauphin-Tanà;-25.033301;46.957575;6*3;6;5;5;384;24;TELMA;;1
 ;11;5;Mahajanga;Amborovy;Enceinte Aéroport;46.348211;15.66930;12*3;9;5;9;TELMA 012;24;TELMA;;1
 ;20;5;Mampikony;Mampikony;Devant Bureau District, vue vers Diégo;;;6*3;1;5;3;1B6MPKN;23;TELMA;;1
 ;18;7;Miandrivazo;Miandrivazo;En face Galana;20.32251;47.143692;6*3;6;5;9;TELMA 013;23;TELMA;;1
 ;13;3;Nosy Be;Nosy Be;A côté marché Amboanara et abribus Zain;13.241726;48.16212;6*3;6;5;8;RNA 006;25;TELMA;;1
 ;18;7;Morondava;Andabatoara;Près croisement Tana - Betela ;;;4*3;6;5;9;TELMA 014;25;TELMA;;1
 ;13;3;Nosy Be;Nosy Be;Entrée de la villle en provenance de l'aéroport;13.241726;48.16212;6*3;6;5;8;RNA 007;47;TELMA;;1
 ;13;3;Nosy Be;Nosy Be;Enceinte Aéroport;13.212816;48.183925;12*3;6;5;8;RNA 008;24;TELMA;;1
 ;9;6;Foulpointe;Foulpointe;Entrée de la ville, en haut du plan de masse;;;6*3;6;5;5;34;6;TELMA;;1
 ;4;6;Sainte Marie;Sainte Marie;Enceinte Aéroport;-17.089;49.81685;12*3;6;5;8;RNA 009;24;TELMA;;1
 ;4;6;Mananara Nord;Mananara Nord;Entrée de la ville;13.233348;48.154256;4*3;6;5;5;368;6;TELMA;;1
 ;18;7;Morondava;Tsimahavaokely;Route de l'aéroport, devant cimetières;;;4*3;6;5;9;TELMA 015;23;TELMA;;1
 ;16;1;Miarinarivo ;Miarinarivo;Croisement Chef de région;13.232004;48.162608;6*3;6;5;5;378;6;TELMA;;1
 ;13;3;Nosy Be;Nosy Be;Hotel Vanilla;13.192986;48.11886;4*3;6;5;3;5;25;TELMA;;1
 ;13;3;Nosy Be;Nosy Be;Croisement Ambatoloaka et Dzamanjary;13.241726;48.16212;4*3;6;5;3;2;52;TELMA;;1
 ;1;6;Moramanga;Moramanga;Croisement vers Ambatovy;;;6*3;6;5;5;364;24;TELMA;;1
 ;12;1;Sakay;Sakay;Croisement vers centre ville;13.23942;48.123910;6*3;6;5;5;381;6;TELMA;;1
 ;4;6;Soanierana Ivongo;Soanierana Ivongo;Côté cimetière, près stationnement;;;6*3;6;5;5;80;6;TELMA;;1
